,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,62,20,.756,—,112.1,105.6,6.42,4.0,82,243.4,42.2,89.9,0.47,0.9,2.7,0.324,41.4,87.2,0.474,20.2,26.1,0.774,13.4,27.2,40.6,23.9,8.6,4.0,16.2,25.5,105.6,Boston Celtics_1984,1984
1,Philadelphia 76ers,52,30,.634,10.0,107.8,105.6,2.39,6.0,82,243.4,41.8,87.0,0.48,0.6,2.5,0.227,41.2,84.5,0.488,21.4,28.9,0.742,15.1,27.3,42.3,25.1,9.8,5.9,19.0,27.3,105.6,Philadelphia 76ers_1984,1984
2,New York Knicks,47,35,.573,15.0,106.9,103.0,3.79,3.0,82,242.1,39.8,81.5,0.488,0.6,2.3,0.275,39.1,79.2,0.494,22.9,30.2,0.758,12.7,26.5,39.2,25.0,8.8,4.8,20.5,26.8,103.0,New York Knicks_1984,1984
3,New Jersey Nets,45,37,.549,17.0,110.0,108.9,1.27,10.0,82,241.5,41.7,85.0,0.491,0.6,2.2,0.265,41.1,82.8,0.497,24.8,32.6,0.761,13.4,28.1,41.5,23.3,9.5,5.1,20.4,26.4,108.9,New Jersey Nets_1984,1984
4,Washington Bullets,35,47,.427,27.0,102.7,105.6,-2.36,5.0,82,242.7,42.3,86.4,0.489,0.5,2.1,0.215,41.8,84.3,0.496,20.6,27.0,0.763,12.6,29.0,41.7,24.9,8.6,6.0,15.6,24.6,105.6,Washington Bullets_1984,1984
5,Milwaukee Bucks,50,32,.610,—,105.7,101.5,4.04,1.0,82,242.7,39.1,85.8,0.456,0.5,2.5,0.207,38.6,83.3,0.463,22.8,30.4,0.751,15.3,27.3,42.5,23.9,8.0,3.9,17.1,25.5,101.5,Milwaukee Bucks_1984,1984
6,Detroit Pistons,49,33,.598,1.0,117.1,113.5,3.52,18.0,82,242.7,44.6,89.9,0.496,0.6,2.5,0.262,44.0,87.4,0.503,23.7,31.4,0.753,14.2,30.0,44.1,26.7,7.6,6.4,18.0,26.7,113.5,Detroit Pistons_1984,1984
7,Atlanta Hawks,40,42,.488,10.0,101.5,102.8,-1.08,2.0,82,242.1,40.0,83.5,0.479,0.5,2.3,0.211,39.5,81.2,0.486,22.4,29.0,0.771,14.5,29.4,43.9,24.7,7.1,5.2,17.2,25.5,102.8,Atlanta Hawks_1984,1984
8,Cleveland Cavaliers,28,54,.341,22.0,102.3,106.5,-3.71,7.0,82,242.1,41.1,84.5,0.487,0.6,2.3,0.263,40.5,82.2,0.493,23.6,31.0,0.763,12.0,29.3,41.3,26.1,7.1,4.8,14.9,23.2,106.5,Cleveland Cavaliers_1984,1984
9,Chicago Bulls,27,55,.329,23.0,103.7,108.9,-4.69,9.0,82,243.7,42.7,86.4,0.494,0.5,2.2,0.203,42.3,84.1,0.502,23.0,30.1,0.763,13.7,29.1,42.8,27.3,9.6,6.3,18.5,25.7,108.9,Chicago Bulls_1984,1984
10,Indiana Pacers,26,56,.317,24.0,104.5,109.3,-4.25,11.0,82,241.2,43.3,87.5,0.495,0.4,1.8,0.199,43.0,85.7,0.501,22.3,29.5,0.757,14.6,31.3,45.8,25.8,9.3,5.4,19.4,23.5,109.3,Indiana Pacers_1984,1984
11,Utah Jazz,45,37,.549,—,115.0,113.8,0.81,20.0,82,241.2,45.7,96.0,0.476,0.6,2.5,0.221,45.1,93.5,0.483,21.9,29.4,0.745,17.8,30.0,47.8,27.3,9.1,5.7,17.5,26.8,113.8,Utah Jazz_1984,1984
12,Dallas Mavericks,43,39,.524,2.0,110.4,110.0,0.15,13.0,82,243.4,44.3,88.8,0.499,0.8,2.7,0.284,43.5,86.1,0.506,20.6,26.8,0.768,14.4,28.6,43.0,26.0,7.7,5.1,16.9,27.0,110.0,Dallas Mavericks_1984,1984
13,Denver Nuggets,38,44,.463,7.0,123.7,124.8,-1.27,23.0,82,241.5,49.0,94.5,0.518,0.8,2.5,0.302,48.2,92.0,0.524,26.1,34.9,0.749,15.0,33.4,48.4,29.9,8.2,6.6,18.8,27.7,124.8,Denver Nuggets_1984,1984
14,Kansas City Kings,38,44,.463,7.0,110.0,111.5,-1.62,15.0,82,240.9,43.9,87.4,0.502,0.4,2.0,0.201,43.5,85.4,0.509,23.3,30.6,0.761,13.7,29.1,42.8,25.7,8.0,6.0,19.3,26.7,111.5,Kansas City Kings_1984,1984
15,San Antonio Spurs,37,45,.451,8.0,120.3,120.5,-0.50,22.0,82,243.7,48.7,96.5,0.505,0.6,2.6,0.241,48.1,93.8,0.513,22.4,29.6,0.758,15.8,29.9,45.7,30.7,8.0,5.7,17.4,26.7,120.5,San Antonio Spurs_1984,1984
16,Houston Rockets,29,53,.354,16.0,110.6,113.7,-3.12,19.0,82,240.9,43.7,90.4,0.483,0.5,1.9,0.268,43.2,88.5,0.488,25.8,34.2,0.755,14.6,30.0,44.6,24.7,9.5,5.2,17.3,23.4,113.7,Houston Rockets_1984,1984
17,Los Angeles Lakers,54,28,.659,—,115.6,111.8,3.32,16.0,82,241.2,44.8,92.7,0.483,0.8,2.7,0.283,44.0,90.0,0.489,21.5,28.6,0.751,15.3,26.3,41.5,27.6,9.7,4.6,17.6,24.1,111.8,Los Angeles Lakers_1984,1984
18,Portland Trail Blazers,48,34,.585,6.0,113.1,109.6,3.13,12.0,82,241.5,43.5,84.7,0.514,0.7,2.5,0.274,42.8,82.1,0.521,21.9,28.9,0.76,12.9,26.6,39.6,25.8,7.9,5.4,19.9,26.6,109.6,Portland Trail Blazers_1984,1984
19,Seattle SuperSonics,42,40,.512,12.0,108.1,108.3,-0.34,8.0,82,241.2,43.7,89.5,0.489,0.7,2.8,0.237,43.1,86.7,0.497,20.2,26.4,0.763,14.2,29.3,43.5,27.8,8.1,4.7,16.2,25.6,108.3,Seattle SuperSonics_1984,1984
20,Phoenix Suns,41,41,.500,13.0,111.0,110.1,0.65,14.0,82,241.2,42.8,86.1,0.497,0.7,2.7,0.247,42.1,83.4,0.505,23.9,31.0,0.77,13.0,28.5,41.4,25.1,8.2,3.6,18.0,24.9,110.1,Phoenix Suns_1984,1984
21,Golden State Warriors,37,45,.451,17.0,109.9,113.3,-3.35,17.0,82,241.8,45.4,87.9,0.517,0.4,2.1,0.211,45.0,85.8,0.524,22.0,29.0,0.758,14.8,30.6,45.4,26.2,8.4,6.0,20.7,27.4,113.3,Golden State Warriors_1984,1984
22,San Diego Clippers,30,52,.366,24.0,110.7,114.0,-3.21,21.0,82,240.6,46.0,90.3,0.509,0.6,2.3,0.283,45.3,88.0,0.515,21.3,27.2,0.783,13.6,26.4,39.9,28.9,8.9,5.6,15.1,24.9,114.0,San Diego Clippers_1984,1984
